"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"YEL_82",52,0,0,0.305227272727273,15.9243824891068,0.232272727272727,93.1818181818182,6.81818181818182,0.416666666666667,237.771194458,5.56262393916,61.8455505,198,23.3333333333333,1,21.6666666666667,0,0,240
"YEL_101",0,0,9,0.186896551724138,17.3414670920921,0.155862068965517,65.5172413793103,20.6896551724138,0.0833333333333333,354.804901123,5.62257441657,0.0014899,0,0,0,0,0,5.45454545454545,165
"YEL_103",0,0,0,0.157777777777778,15.3317173423423,0.228888888888889,80.5555555555556,13.8888888888889,0.5,213.278594971,5.22705804711,94.6966782,155,1.6025641025641,1,0,0,0,312
"YEL_105",0,0,0,0.119714285714286,13.6240890890891,0.303428571428571,100,0,0.333333333333333,324.522888184,5.87793778198,22.97715,0,0,0,0,0,0,150
"YEL_113",0,0,0,0.1588,18.6619557057057,0.318,56,24,0,320.778442383,2.79821843791,3.8025002,0,0,0,0,0,0,150
"YEL_119",0,9,0,0.35531914893617,16.0241372622623,0.187234042553191,6.38297872340426,91.4893617021277,0.0833333333333333,197.698776245,20.1203207587,69.4409866,0,0,0,0,2.5,0,360
"YEL_120",0,10,0,0.234090909090909,15.5823527918198,0.202727272727273,47.7272727272727,50,0.166666666666667,232.431610107,14.7159859024,41.5897789,215.5,9.77777777777778,1,0,2.22222222222222,0,450
"YEL_129",0,0,1,0.3856,15.5267774024024,0.3816,88,8,0,333.491455078,3.28889035392,3.297807,0,0,0,0,0,0.555555555555556,180
"YEL_150",0,0,0,0.1548,15.5757094594595,0.184,64,20,1.08333333333333,260.645019531,2.87186023906,59.7135811,0,0,0,0,0,0,150
"YEL_161",0,1,3,0.252162162162162,16.9123986486486,0.229459459459459,72.972972972973,10.8108108108108,0.333333333333333,309.156738281,6.0925192185,2.7802911,391.5,2.46913580246914,1,0,0.308641975308642,0.925925925925926,324
"YEL_178",7,27,0,0.303888888888889,15.2459340590591,0.245,66.6666666666667,25,0.0833333333333333,215.352813721,7.07252648795,60.1216202,168.5,36.8888888888889,1,1.55555555555556,6,0,450
"YEL_193",0,0,0,0.375111111111111,16.4280086336336,0.315555555555556,82.2222222222222,17.7777777777778,0.25,263.329101563,25.0692313885,16.8383675,248,41.5555555555556,1,0,0,0,450
"YEL_201",5,0,0,0.329487179487179,15.1415077577578,0.222820512820513,60.5263157894737,34.2105263157895,0.416666666666667,236.125335693,8.58196495317,55.9356232,193,28.0555555555556,1,1.38888888888889,0,0,360
"YEL_202",0,0,4,0.280416666666667,15.5838707457457,0.0566666666666667,33.3333333333333,45.8333333333333,0,350.201721191,1.245249923,1.5149685,0,0,0,0,0,2.66666666666667,150
"YEL_203",0,0,0,0.413541666666667,11.298348973974,0.349375,76.5957446808511,12.7659574468085,0.25,345.087860107,28.4071363922,5.0032735,191,8.22222222222222,1,0,0,0,450
"YEL_204",0,0,0,0.419166666666667,11.0292655155155,0.205416666666667,75,25,0.0833333333333333,275.269012451,0.464157599342,12.9460535,236,34.6666666666667,1,0,0,0,450
"LMAQ_5",0,0,18,0.146111111111111,16.7971696696697,0.15,77.7777777777778,19.4444444444444,1.16666666666667,292.484924316,4.95255340483,47.939209,162,0.56980056980057,1,0,0,5.12820512820513,351
